Name,Developer,Producer,Genre,Operating System,Date Released
Stronghold: Crusader Extreme,Firefly Studios,Gamecock Media Group,RTS,Microsoft Windows,27-May-08
Stronghold Kingdoms,Firefly Studios,Firefly Studios,RTS,Microsoft Windows,17-Oct-12
Stronghold Legends,Firefly Studios,2K Games,RTS,Microsoft Windows,13-Oct-06
Sunset Overdrive,Insomniac Games,Microsoft Studios,"Action-adventure, third-person shooter",Microsoft Windows,16-Nov-18
Super Meat Boy,Team Meat,Team Meat,Platformer,"Microsoft Windows, Linux, macOS",5-Apr-11
Supreme Commander,Gas Powered Games,THQ,RTS,Microsoft Windows,16-Feb-07
Surf's Up,"Ubisoft Montreal, Ubisoft Quebec, Totally Games","Ubisoft, Sony Computer Entertainment America",Sports,"Mac OS X, Microsoft Windows",30-May-07
SWAT 3: Close Quarters Battle,Sierra Northwest,Sierra Entertainment,"First-person shooter, tactical shooter",Microsoft Windows,23-Nov-99
SWAT 4,Irrational Games,"Vivendi Universal Games, Sierra Entertainment","First-person shooter, tactical shooter","Microsoft Windows, macOS",5-Apr-05
System Shock,Looking Glass Studios,Origin Systems,"Action-adventure, RPG","DOS, macOS",22-Oct-94
System Shock 2,"Irrational Games, Looking Glass Studios",Electronic Arts,"Action RPG, survival horror","Microsoft Windows, Linux, macOS",11-Aug-99
Tanarus,Verant Interactive,Sony Interactive Studios America,First-person shooter,Microsoft Windows,12-Dec-97
Transport Tycoon,Chris Sawyer Productions,MicroProse,Business simulation game,"MS-DOS, Mac",15-Jun-94
Team Fortress 2,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",9-Oct-07
Team Fortress Classic,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",7-Apr-99
Terraria,Re-Logic,"Re-Logic, 505 Games, Spike Chunsoft","Action-adventure, survival",Microsoft Windows,16-May-11
Thomas Was Alone,Mike Bithell,Mike Bithell,Puzzle-platformer,"Microsoft Windows, Linux, OS X",30-Jun-12
The Adventures of Fatman,SOCKO! Entertainment,SOCKO! Entertainment,Point-and-click adventure,Microsoft Windows,May-03
The Adventures of Lomax,Psygnosis,Psygnosis,2D platformer,Microsoft Windows,22-Oct-96
The Binding of Isaac: Rebirth,Edmund McMillen,Nickels Inc,Roguelike,Microsoft Windows,14-Nov-14
The Lord of the Rings Online,"Turbine, Inc.","Turbine, Inc.",MMORPG,"Microsoft Windows, macOS",27-Apr-07
The Matrix Online,Monolith Productions,"Sega, Warner Bros. Interactive Entertainment",Massively multiplayer online role-playing game,Microsoft Windows,22-Mar-05
The Punisher (2005 video game),Volition,THQ,"Action, third-person shooter",Microsoft Windows,12-Apr-04
Thief,Eidos MontrÃ©al,Square Enix,Stealth,Microsoft Windows,25-Feb-14
Thief II: The Metal Age,Looking Glass Studios,Eidos Interactive,Stealth,Microsoft Windows,23-Mar-00
Thief: The Dark Project,Looking Glass Studios,Eidos Interactive,Stealth,Microsoft Windows,30-Nov-98
Thief: Deadly Shadows,Ion Storm,Eidos Interactive,Stealth,Microsoft Windows,25-May-04
Titan Quest,Iron Lore Entertainment,THQ,RPG,Microsoft Windows,26-Jun-06
Tom Clancyâ€™s Rainbow Six Siege,Ubisoft,Ubisoft,First-person shooter,Microsoft Windows,1-Dec-15
Tom Clancy's Splinter Cell,"Ubisoft Montreal, Ubisoft Shanghai, Gameloft","Ubisoft, Gameloft, Aspyr Media",Stealth,"Microsoft Windows, macOS",17-Nov-02
Tom Clancy's Splinter Cell: Blacklist,"Ubisoft Toronto, Ubisoft Montreal, Ubisoft Shanghai",Ubisoft,"Action-adventure, stealth",Microsoft Windows,20-Aug-13
Tom Clancy's Splinter Cell: Chaos Theory,"Gameloft, Ubisoft Montreal",Gameloft Ubisoft,Stealth,Microsoft Windows,21-Mar-05
Tom Clancy's Splinter Cell: Conviction,"Ubisoft Montreal, Gameloft","Ubisoft, Gameloft","Action-adventure, stealth","Microsoft Windows, macOS",13-Apr-10
Tom Clancy's Splinter Cell: Double Agent,"Ubisoft Shanghai, Ubisoft Montreal, Ubisoft Milan",Ubisoft,Stealth,Microsoft Windows,17-Oct-06
Tom Clancy's Splinter Cell: Pandora Tomorrow,"Ubisoft Shanghai, Ubisoft Milan, Ubisoft Annecy, Gameloft",Ubisoft,Stealth,Microsoft Windows,23-Mar-04
Tomb Raider,Core Design,Eidos Interactive,Action-adventure,MS-DOS,14-Nov-96
Tomb Raider II,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS",24-Nov-97
Tomb Raider III,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS",20-Nov-98
Tomb Raider: The Last Revelation,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS",24-Nov-99
Tomb Raider: Chronicles,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS",24-Nov-00
Tomb Raider: The Angel of Darkness,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS",30-Jun-03
Tomb Raider: Legend,Crystal Dynamics,Eidos Interactive,Action-adventure,Microsoft Windows,7-Apr-06
Tomb Raider: Anniversary,Crystal Dynamics,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS",1-Jun-07
Tomb Raider: Underworld,Crystal Dynamics,Eidos Interactive,Action-adventure,Microsoft Windows,18-Nov-08
Tomb Raider (2013),Crystal Dynamics,Square Enix,Action-adventure,"Microsoft Windows, macOS",5-Mar-13
Torchlight,Runic Games,Runic Games,"Action RPG, hack and slash","Microsoft Windows, Linux, macOS",27-Oct-09
Torchlight II,Runic Games,Runic Games,"Action RPG, hack and slash","Microsoft Windows, Linux, macOS",20-Sep-12
Total Annihilation,Cavedog Entertainment,GT Interactive,RTS,"Microsoft Windows, macOS",30-Sep-97
Total War: Rome II,The Creative Assembly,Sega,RTS,"Microsoft Windows, macOS",3-Sep-13
Total War: Shogun 2,The Creative Assembly,Sega,RTS,"Microsoft Windows, macOS",15-Apr-11
TrackMania 2: Canyon,Nadeo,Ubisoft,Racing,Microsoft Windows,14-Sep-11
TrackMania Forever,Nadeo,"Deep Silver, Enlight, Focus Home Interactive, Digital Jesters",Racing,Microsoft Windows,15-Apr-08
